# Sweep B vom 27.10.2009 17:33
# Sweep B ab 5.00000E+0
#
B	R1X	R1Y	R2X	R2Y
4.99909E+0	2.49051E+3	2.49051E+3	-5.51537E+3	-5.51537E+3
4.99797E+0	2.49048E+3	2.49048E+3	-5.51482E+3	-5.51482E+3
4.99717E+0	2.49059E+3	2.49059E+3	-5.51219E+3	-5.51219E+3
4.99490E+0	2.49077E+3	2.49077E+3	-5.50866E+3	-5.50866E+3
4.99117E+0	2.49090E+3	2.49090E+3	-5.50540E+3	-5.50540E+3
4.99077E+0	2.49102E+3	2.49102E+3	-5.50215E+3	-5.50215E+3
4.98690E+0	2.49113E+3	2.49113E+3	-5.49902E+3	-5.49902E+3
4.98690E+0	2.49122E+3	2.49122E+3	-5.49593E+3	-5.49593E+3
4.98357E+0	2.49129E+3	2.49129E+3	-5.49353E+3	-5.49353E+3
4.98157E+0	2.49136E+3	2.49136E+3	-5.49087E+3	-5.49087E+3
4.97997E+0	2.49139E+3	2.49139E+3	-5.48880E+3	-5.48880E+3
4.97850E+0	2.49139E+3	2.49139E+3	-5.48708E+3	-5.48708E+3
4.97690E+0	2.49140E+3	2.49140E+3	-5.48458E+3	-5.48458E+3
4.97490E+0	2.49141E+3	2.49141E+3	-5.48172E+3	-5.48172E+3
4.97437E+0	2.49141E+3	2.49141E+3	-5.47856E+3	-5.47856E+3
4.97144E+0	2.49141E+3	2.49141E+3	-5.47641E+3	-5.47641E+3
4.97024E+0	2.49136E+3	2.49136E+3	-5.47392E+3	-5.47392E+3
4.96850E+0	2.49135E+3	2.49135E+3	-5.47181E+3	-5.47181E+3
4.96677E+0	2.49132E+3	2.49132E+3	-5.46978E+3	-5.46978E+3
4.96517E+0	2.49125E+3	2.49125E+3	-5.46727E+3	-5.46727E+3
4.96370E+0	2.49119E+3	2.49119E+3	-5.46479E+3	-5.46479E+3
4.96317E+0	2.49112E+3	2.49112E+3	-5.46159E+3	-5.46159E+3
4.96010E+0	2.49103E+3	2.49103E+3	-5.45914E+3	-5.45914E+3
4.95824E+0	2.49094E+3	2.49094E+3	-5.45710E+3	-5.45710E+3
4.95704E+0	2.49085E+3	2.49085E+3	-5.45500E+3	-5.45500E+3
4.95530E+0	2.49077E+3	2.49077E+3	-5.45283E+3	-5.45283E+3
4.95357E+0	2.49062E+3	2.49062E+3	-5.45023E+3	-5.45023E+3
4.95170E+0	2.49053E+3	2.49053E+3	-5.44778E+3	-5.44778E+3
4.95010E+0	2.49042E+3	2.49042E+3	-5.44531E+3	-5.44531E+3
4.94877E+0	2.49026E+3	2.49026E+3	-5.44296E+3	-5.44296E+3
4.94824E+0	2.49012E+3	2.49012E+3	-5.44024E+3	-5.44024E+3
4.94517E+0	2.48992E+3	2.48992E+3	-5.43818E+3	-5.43818E+3
4.94344E+0	2.48977E+3	2.48977E+3	-5.43605E+3	-5.43605E+3
4.94184E+0	2.48959E+3	2.48959E+3	-5.43349E+3	-5.43349E+3
4.94064E+0	2.48936E+3	2.48936E+3	-5.43095E+3	-5.43095E+3
4.93877E+0	2.48918E+3	2.48918E+3	-5.42844E+3	-5.42844E+3
4.93837E+0	2.48897E+3	2.48897E+3	-5.42510E+3	-5.42510E+3
4.93477E+0	2.48869E+3	2.48869E+3	-5.42304E+3	-5.42304E+3
4.93397E+0	2.48849E+3	2.48849E+3	-5.42096E+3	-5.42096E+3
4.93224E+0	2.48828E+3	2.48828E+3	-5.41897E+3	-5.41897E+3
4.93077E+0	2.48809E+3	2.48809E+3	-5.41694E+3	-5.41694E+3
4.92863E+0	2.48784E+3	2.48784E+3	-5.41450E+3	-5.41450E+3
4.92863E+0	2.48760E+3	2.48760E+3	-5.41138E+3	-5.41138E+3
4.92530E+0	2.48730E+3	2.48730E+3	-5.40899E+3	-5.40899E+3
4.92330E+0	2.48698E+3	2.48698E+3	-5.40624E+3	-5.40624E+3
4.92183E+0	2.48664E+3	2.48664E+3	-5.40417E+3	-5.40417E+3
4.92010E+0	2.48639E+3	2.48639E+3	-5.40179E+3	-5.40179E+3
4.91837E+0	2.48610E+3	2.48610E+3	-5.39979E+3	-5.39979E+3
4.91610E+0	2.48577E+3	2.48577E+3	-5.39636E+3	-5.39636E+3
4.91463E+0	2.48535E+3	2.48535E+3	-5.39392E+3	-5.39392E+3
4.91277E+0	2.48506E+3	2.48506E+3	-5.39220E+3	-5.39220E+3
4.91130E+0	2.48470E+3	2.48470E+3	-5.38928E+3	-5.38928E+3
4.90970E+0	2.48437E+3	2.48437E+3	-5.38680E+3	-5.38680E+3
4.90783E+0	2.48401E+3	2.48401E+3	-5.38445E+3	-5.38445E+3
4.90477E+0	2.48361E+3	2.48361E+3	-5.38009E+3	-5.38009E+3
4.89917E+0	2.48234E+3	2.48234E+3	-5.37308E+3	-5.37308E+3
4.89503E+0	2.48138E+3	2.48138E+3	-5.36623E+3	-5.36623E+3
4.88917E+0	2.47997E+3	2.47997E+3	-5.35886E+3	-5.35886E+3
4.88450E+0	2.47856E+3	2.47856E+3	-5.35163E+3	-5.35163E+3
4.87983E+0	2.47715E+3	2.47715E+3	-5.34493E+3	-5.34493E+3
4.87410E+0	2.47566E+3	2.47566E+3	-5.33758E+3	-5.33758E+3
4.86890E+0	2.47423E+3	2.47423E+3	-5.33091E+3	-5.33091E+3
4.86623E+0	2.47272E+3	2.47272E+3	-5.32500E+3	-5.32500E+3
4.86077E+0	2.47117E+3	2.47117E+3	-5.31902E+3	-5.31902E+3
4.85636E+0	2.46965E+3	2.46965E+3	-5.31224E+3	-5.31224E+3
4.85157E+0	2.46805E+3	2.46805E+3	-5.30666E+3	-5.30666E+3
4.84916E+0	2.46627E+3	2.46627E+3	-5.30230E+3	-5.30230E+3
4.84810E+0	2.46574E+3	2.46574E+3	-5.30027E+3	-5.30027E+3
4.84663E+0	2.46521E+3	2.46521E+3	-5.29865E+3	-5.29865E+3
4.84490E+0	2.46477E+3	2.46477E+3	-5.29642E+3	-5.29642E+3
4.84343E+0	2.46413E+3	2.46413E+3	-5.29441E+3	-5.29441E+3
4.84236E+0	2.46356E+3	2.46356E+3	-5.29243E+3	-5.29243E+3
4.84050E+0	2.46291E+3	2.46291E+3	-5.29058E+3	-5.29058E+3
4.83903E+0	2.46235E+3	2.46235E+3	-5.28866E+3	-5.28866E+3
4.83810E+0	2.46179E+3	2.46179E+3	-5.28673E+3	-5.28673E+3
4.83610E+0	2.46097E+3	2.46097E+3	-5.28404E+3	-5.28404E+3
