# Sweep B vom 27.10.2009 17:21
# Sweep B ab 0.00000E+0
#
B	R1X	R1Y	R2X	R2Y
3.50000E-4	6.99723E+1	6.99723E+1	5.86649E+0	5.86649E+0
3.50000E-4	6.99663E+1	6.99663E+1	6.10313E+0	6.10313E+0
1.47000E-3	6.99763E+1	6.99763E+1	5.15922E+0	5.15922E+0
4.00000E-3	6.99996E+1	6.99996E+1	2.73900E+0	2.73900E+0
4.40000E-3	6.99967E+1	6.99967E+1	2.39813E-1	2.39813E-1
6.80000E-3	6.99829E+1	6.99829E+1	-2.31482E+0	-2.31482E+0
8.80000E-3	6.99870E+1	6.99870E+1	-4.61920E+0	-4.61920E+0
1.08000E-2	6.99670E+1	6.99670E+1	-7.55494E+0	-7.55494E+0
1.33300E-2	6.99649E+1	6.99649E+1	-1.03436E+1	-1.03436E+1
1.69300E-2	6.99797E+1	6.99797E+1	-1.27667E+1	-1.27667E+1
1.74700E-2	6.99628E+1	6.99628E+1	-1.50016E+1	-1.50016E+1
2.04000E-2	6.99606E+1	6.99606E+1	-1.66917E+1	-1.66917E+1
2.26700E-2	6.99507E+1	6.99507E+1	-1.92279E+1	-1.92279E+1
2.45300E-2	6.99034E+1	6.99034E+1	-2.16617E+1	-2.16617E+1
2.58700E-2	6.99004E+1	6.99004E+1	-2.33121E+1	-2.33121E+1
2.89400E-2	6.99037E+1	6.99037E+1	-2.60921E+1	-2.60921E+1
3.38700E-2	6.98624E+1	6.98624E+1	-3.10760E+1	-3.10760E+1
3.70700E-2	6.98271E+1	6.98271E+1	-3.68223E+1	-3.68223E+1
4.26700E-2	6.98124E+1	6.98124E+1	-4.19138E+1	-4.19138E+1
4.56000E-2	6.97837E+1	6.97837E+1	-4.70762E+1	-4.70762E+1
5.21400E-2	6.97331E+1	6.97331E+1	-5.28080E+1	-5.28080E+1
5.61400E-2	6.96714E+1	6.96714E+1	-5.84903E+1	-5.84903E+1
5.78700E-2	6.96461E+1	6.96461E+1	-6.20039E+1	-6.20039E+1
6.18700E-2	6.96364E+1	6.96364E+1	-6.56646E+1	-6.56646E+1
6.30700E-2	6.95990E+1	6.95990E+1	-6.76902E+1	-6.76902E+1
6.49400E-2	6.95775E+1	6.95775E+1	-6.94825E+1	-6.94825E+1
6.66700E-2	6.95727E+1	6.95727E+1	-7.14519E+1	-7.14519E+1
6.81400E-2	6.95716E+1	6.95716E+1	-7.34407E+1	-7.34407E+1
6.97400E-2	6.95548E+1	6.95548E+1	-7.54377E+1	-7.54377E+1
7.10700E-2	6.95326E+1	6.95326E+1	-7.68185E+1	-7.68185E+1
7.34700E-2	6.95095E+1	6.95095E+1	-7.96906E+1	-7.96906E+1
7.50700E-2	6.94963E+1	6.94963E+1	-8.13934E+1	-8.13934E+1
7.66700E-2	6.95143E+1	6.95143E+1	-8.34641E+1	-8.34641E+1
7.82700E-2	6.94912E+1	6.94912E+1	-8.52135E+1	-8.52135E+1
7.93400E-2	6.94767E+1	6.94767E+1	-8.71724E+1	-8.71724E+1
8.10700E-2	6.95048E+1	6.95048E+1	-8.88015E+1	-8.88015E+1
8.26700E-2	6.94750E+1	6.94750E+1	-9.07703E+1	-9.07703E+1
8.44000E-2	6.94729E+1	6.94729E+1	-9.25581E+1	-9.25581E+1
8.61400E-2	6.94931E+1	6.94931E+1	-9.46065E+1	-9.46065E+1
8.74700E-2	6.94466E+1	6.94466E+1	-9.63023E+1	-9.63023E+1
8.88000E-2	6.94277E+1	6.94277E+1	-9.79525E+1	-9.79525E+1
8.97400E-2	6.94374E+1	6.94374E+1	-9.96429E+1	-9.96429E+1
9.17400E-2	6.94395E+1	6.94395E+1	-1.01455E+2	-1.01455E+2
9.24000E-2	6.94620E+1	6.94620E+1	-1.04021E+2	-1.04021E+2
9.54700E-2	6.94513E+1	6.94513E+1	-1.05968E+2	-1.05968E+2
9.70700E-2	6.94319E+1	6.94319E+1	-1.07674E+2	-1.07674E+2
9.84000E-2	6.94493E+1	6.94493E+1	-1.09341E+2	-1.09341E+2
1.00000E-1	6.94375E+1	6.94375E+1	-1.11311E+2	-1.11311E+2
1.00410E-1	6.94290E+1	6.94290E+1	-1.13860E+2	-1.13860E+2
1.04000E-1	6.94320E+1	6.94320E+1	-1.15588E+2	-1.15588E+2
1.05470E-1	6.94295E+1	6.94295E+1	-1.17905E+2	-1.17905E+2
1.07070E-1	6.94492E+1	6.94492E+1	-1.19598E+2	-1.19598E+2
1.08670E-1	6.94682E+1	6.94682E+1	-1.21526E+2	-1.21526E+2
1.10270E-1	6.94562E+1	6.94562E+1	-1.23529E+2	-1.23529E+2
1.11740E-1	6.94456E+1	6.94456E+1	-1.25267E+2	-1.25267E+2
1.13870E-1	6.94355E+1	6.94355E+1	-1.26998E+2	-1.26998E+2
1.14800E-1	6.94761E+1	6.94761E+1	-1.29359E+2	-1.29359E+2
1.16670E-1	6.94678E+1	6.94678E+1	-1.31042E+2	-1.31042E+2
1.18270E-1	6.94716E+1	6.94716E+1	-1.32935E+2	-1.32935E+2
1.20140E-1	6.94753E+1	6.94753E+1	-1.34617E+2	-1.34617E+2
1.21870E-1	6.94981E+1	6.94981E+1	-1.37163E+2	-1.37163E+2
1.23610E-1	6.94880E+1	6.94880E+1	-1.39143E+2	-1.39143E+2
1.25210E-1	6.94929E+1	6.94929E+1	-1.41052E+2	-1.41052E+2
1.26810E-1	6.95038E+1	6.95038E+1	-1.42708E+2	-1.42708E+2
1.28270E-1	6.94810E+1	6.94810E+1	-1.45068E+2	-1.45068E+2
1.29470E-1	6.94913E+1	6.94913E+1	-1.46758E+2	-1.46758E+2
1.31470E-1	6.95113E+1	6.95113E+1	-1.48692E+2	-1.48692E+2
1.32940E-1	6.95214E+1	6.95214E+1	-1.50384E+2	-1.50384E+2
1.34540E-1	6.95303E+1	6.95303E+1	-1.52006E+2	-1.52006E+2
1.36010E-1	6.95480E+1	6.95480E+1	-1.53995E+2	-1.53995E+2
1.37740E-1	6.95759E+1	6.95759E+1	-1.55761E+2	-1.55761E+2
1.39470E-1	6.95713E+1	6.95713E+1	-1.58016E+2	-1.58016E+2
1.40940E-1	6.96104E+1	6.96104E+1	-1.60176E+2	-1.60176E+2
1.41340E-1	6.96353E+1	6.96353E+1	-1.62611E+2	-1.62611E+2
1.44940E-1	6.96551E+1	6.96551E+1	-1.64595E+2	-1.64595E+2
1.46140E-1	6.96468E+1	6.96468E+1	-1.66537E+2	-1.66537E+2
1.47740E-1	6.96553E+1	6.96553E+1	-1.68167E+2	-1.68167E+2
1.49340E-1	6.96544E+1	6.96544E+1	-1.69772E+2	-1.69772E+2
1.50810E-1	6.96938E+1	6.96938E+1	-1.71724E+2	-1.71724E+2
1.52670E-1	6.96956E+1	6.96956E+1	-1.73507E+2	-1.73507E+2
1.53870E-1	6.97260E+1	6.97260E+1	-1.75243E+2	-1.75243E+2
1.55340E-1	6.97493E+1	6.97493E+1	-1.77186E+2	-1.77186E+2
1.56540E-1	6.97597E+1	6.97597E+1	-1.78824E+2	-1.78824E+2
1.58140E-1	6.97735E+1	6.97735E+1	-1.80771E+2	-1.80771E+2
1.59870E-1	6.98102E+1	6.98102E+1	-1.82430E+2	-1.82430E+2
1.61470E-1	6.98333E+1	6.98333E+1	-1.84363E+2	-1.84363E+2
1.63070E-1	6.98608E+1	6.98608E+1	-1.86060E+2	-1.86060E+2
1.64270E-1	6.98894E+1	6.98894E+1	-1.87728E+2	-1.87728E+2
1.66010E-1	6.98929E+1	6.98929E+1	-1.89804E+2	-1.89804E+2
1.67740E-1	6.99335E+1	6.99335E+1	-1.91563E+2	-1.91563E+2
1.69340E-1	6.99513E+1	6.99513E+1	-1.93554E+2	-1.93554E+2
1.70810E-1	6.99590E+1	6.99590E+1	-1.95513E+2	-1.95513E+2
1.72140E-1	6.99722E+1	6.99722E+1	-1.97191E+2	-1.97191E+2
