# Sweep B vom 27.10.2009 16:30
# Sweep B ab 5.00000E+0
#
B	R1X	R1Y	R2X	R2Y
4.99945E+0	-1.20446E+2	-1.20446E+2	1.24602E+2	1.24602E+2
4.99972E+0	-1.21104E+2	-1.21104E+2	1.25237E+2	1.25237E+2
4.99825E+0	-1.20569E+2	-1.20569E+2	1.23917E+2	1.23917E+2
4.99692E+0	-1.17220E+2	-1.17220E+2	1.20703E+2	1.20703E+2
4.99638E+0	-1.13799E+2	-1.13799E+2	1.13309E+2	1.13309E+2
4.99212E+0	-1.06252E+2	-1.06252E+2	1.09461E+2	1.09461E+2
4.99065E+0	-1.03824E+2	-1.03824E+2	1.06203E+2	1.06203E+2
4.98932E+0	-1.00310E+2	-1.00310E+2	1.03109E+2	1.03109E+2
4.98785E+0	-9.72465E+1	-9.72465E+1	1.00630E+2	1.00630E+2
4.98638E+0	-9.43539E+1	-9.43539E+1	9.71360E+1	9.71360E+1
4.98492E+0	-9.16056E+1	-9.16056E+1	9.41366E+1	9.41366E+1
4.98345E+0	-8.88945E+1	-8.88945E+1	9.12619E+1	9.12619E+1
4.98212E+0	-8.61109E+1	-8.61109E+1	8.85266E+1	8.85266E+1
4.98078E+0	-8.34298E+1	-8.34298E+1	8.57801E+1	8.57801E+1
4.97932E+0	-8.08729E+1	-8.08729E+1	8.30309E+1	8.30309E+1
4.97798E+0	-7.83937E+1	-7.83937E+1	8.08491E+1	8.08491E+1
4.97652E+0	-7.58576E+1	-7.58576E+1	7.87133E+1	7.87133E+1
4.97518E+0	-7.34081E+1	-7.34081E+1	7.56001E+1	7.56001E+1
4.97372E+0	-7.14952E+1	-7.14952E+1	7.30691E+1	7.30691E+1
4.97238E+0	-6.87885E+1	-6.87885E+1	7.06584E+1	7.06584E+1
4.97065E+0	-6.67713E+1	-6.67713E+1	6.87509E+1	6.87509E+1
4.96931E+0	-6.44981E+1	-6.44981E+1	6.64165E+1	6.64165E+1
4.96838E+0	-6.27573E+1	-6.27573E+1	6.41127E+1	6.41127E+1
4.96665E+0	-6.05345E+1	-6.05345E+1	6.19251E+1	6.19251E+1
4.96532E+0	-5.83997E+1	-5.83997E+1	5.98606E+1	5.98606E+1
4.96385E+0	-5.67478E+1	-5.67478E+1	5.77366E+1	5.77366E+1
4.96238E+0	-5.43684E+1	-5.43684E+1	5.57283E+1	5.57283E+1
4.96105E+0	-5.24019E+1	-5.24019E+1	5.38123E+1	5.38123E+1
4.95958E+0	-5.05464E+1	-5.05464E+1	5.18914E+1	5.18914E+1
4.95811E+0	-4.90744E+1	-4.90744E+1	4.99600E+1	4.99600E+1
4.95678E+0	-4.70544E+1	-4.70544E+1	4.81820E+1	4.81820E+1
4.95531E+0	-4.53173E+1	-4.53173E+1	4.64390E+1	4.64390E+1
4.95398E+0	-4.36545E+1	-4.36545E+1	4.47622E+1	4.47622E+1
4.95251E+0	-4.23597E+1	-4.23597E+1	4.33131E+1	4.33131E+1
4.95118E+0	-4.05428E+1	-4.05428E+1	4.16798E+1	4.16798E+1
4.94971E+0	-3.89729E+1	-3.89729E+1	4.03920E+1	4.03920E+1
4.94825E+0	-3.74812E+1	-3.74812E+1	3.85280E+1	3.85280E+1
4.94691E+0	-3.61348E+1	-3.61348E+1	3.69792E+1	3.69792E+1
4.94558E+0	-3.47479E+1	-3.47479E+1	3.55161E+1	3.55161E+1
4.94425E+0	-3.33351E+1	-3.33351E+1	3.42194E+1	3.42194E+1
4.94278E+0	-3.20403E+1	-3.20403E+1	3.29148E+1	3.29148E+1
4.94145E+0	-3.07890E+1	-3.07890E+1	3.15625E+1	3.15625E+1
4.94011E+0	-2.95482E+1	-2.95482E+1	3.02423E+1	3.02423E+1
4.93865E+0	-2.83359E+1	-2.83359E+1	2.90306E+1	2.90306E+1
4.93718E+0	-2.72195E+1	-2.72195E+1	2.78938E+1	2.78938E+1
4.93585E+0	-2.63694E+1	-2.63694E+1	2.67578E+1	2.67578E+1
4.93451E+0	-2.50854E+1	-2.50854E+1	2.56021E+1	2.56021E+1
4.93278E+0	-2.40112E+1	-2.40112E+1	2.45574E+1	2.45574E+1
4.93131E+0	-2.30236E+1	-2.30236E+1	2.35264E+1	2.35264E+1
4.92998E+0	-2.20589E+1	-2.20589E+1	2.25540E+1	2.25540E+1
4.92851E+0	-2.11405E+1	-2.11405E+1	2.15737E+1	2.15737E+1
4.92718E+0	-2.02144E+1	-2.02144E+1	2.06279E+1	2.06279E+1
4.92585E+0	-1.93133E+1	-1.93133E+1	1.97235E+1	1.97235E+1
4.92451E+0	-1.84738E+1	-1.84738E+1	1.88528E+1	1.88528E+1
4.92305E+0	-1.76897E+1	-1.76897E+1	1.80198E+1	1.80198E+1
4.92131E+0	-1.67662E+1	-1.67662E+1	1.72369E+1	1.72369E+1
4.91971E+0	-1.60278E+1	-1.60278E+1	1.62767E+1	1.62767E+1
4.91838E+0	-1.53044E+1	-1.53044E+1	1.54801E+1	1.54801E+1
4.91691E+0	-1.46450E+1	-1.46450E+1	1.47848E+1	1.47848E+1
4.91558E+0	-1.40124E+1	-1.40124E+1	1.41648E+1	1.41648E+1
4.91411E+0	-1.33480E+1	-1.33480E+1	1.36343E+1	1.36343E+1
4.91265E+0	-1.27228E+1	-1.27228E+1	1.29400E+1	1.29400E+1
4.91131E+0	-1.21575E+1	-1.21575E+1	1.22723E+1	1.22723E+1
4.90998E+0	-1.16213E+1	-1.16213E+1	1.17958E+1	1.17958E+1
4.90851E+0	-1.10824E+1	-1.10824E+1	1.11760E+1	1.11760E+1
4.90718E+0	-1.05300E+1	-1.05300E+1	1.06213E+1	1.06213E+1
4.90571E+0	-1.01243E+1	-1.01243E+1	1.01166E+1	1.01166E+1
4.90438E+0	-9.57379E+0	-9.57379E+0	9.64352E+0	9.64352E+0
4.90291E+0	-9.10415E+0	-9.10415E+0	9.16521E+0	9.16521E+0
4.90158E+0	-8.67134E+0	-8.67134E+0	8.72520E+0	8.72520E+0
4.90011E+0	-8.32409E+0	-8.32409E+0	8.28568E+0	8.28568E+0
4.89905E+0	-7.88186E+0	-7.88186E+0	7.94201E+0	7.94201E+0
4.89731E+0	-7.57037E+0	-7.57037E+0	7.56261E+0	7.56261E+0
4.89598E+0	-7.18530E+0	-7.18530E+0	7.17741E+0	7.17741E+0
4.89465E+0	-6.81801E+0	-6.81801E+0	6.78450E+0	6.78450E+0
4.89318E+0	-6.47064E+0	-6.47064E+0	6.44500E+0	6.44500E+0
4.89185E+0	-6.13417E+0	-6.13417E+0	6.10152E+0	6.10152E+0
4.89051E+0	-5.81354E+0	-5.81354E+0	5.79376E+0	5.79376E+0
4.88918E+0	-5.51959E+0	-5.51959E+0	5.50657E+0	5.50657E+0
4.88771E+0	-5.26584E+0	-5.26584E+0	5.21166E+0	5.21166E+0
4.88625E+0	-4.99023E+0	-4.99023E+0	4.93210E+0	4.93210E+0
4.88478E+0	-4.76888E+0	-4.76888E+0	4.72927E+0	4.72927E+0
4.88345E+0	-4.51950E+0	-4.51950E+0	4.50161E+0	4.50161E+0
4.88198E+0	-4.29997E+0	-4.29997E+0	4.26825E+0	4.26825E+0
4.88065E+0	-4.08794E+0	-4.08794E+0	4.01540E+0	4.01540E+0
4.87931E+0	-3.88766E+0	-3.88766E+0	3.79263E+0	3.79263E+0
4.87771E+0	-3.72122E+0	-3.72122E+0	3.60192E+0	3.60192E+0
4.87638E+0	-3.51486E+0	-3.51486E+0	3.41233E+0	3.41233E+0
4.87491E+0	-3.31844E+0	-3.31844E+0	3.24532E+0	3.24532E+0
4.87358E+0	-3.19293E+0	-3.19293E+0	3.08599E+0	3.08599E+0
4.87211E+0	-3.00570E+0	-3.00570E+0	2.93106E+0	2.93106E+0
4.87078E+0	-2.85663E+0	-2.85663E+0	2.79265E+0	2.79265E+0
4.86891E+0	-2.72918E+0	-2.72918E+0	2.63664E+0	2.63664E+0
4.86798E+0	-2.58715E+0	-2.58715E+0	2.50165E+0	2.50165E+0
4.86611E+0	-2.49382E+0	-2.49382E+0	2.37468E+0	2.37468E+0
4.86478E+0	-2.35746E+0	-2.35746E+0	2.26182E+0	2.26182E+0
4.86318E+0	-2.19385E+0	-2.19385E+0	2.05858E+0	2.05858E+0
4.86078E+0	-2.04131E+0	-2.04131E+0	1.97108E+0	1.97108E+0
4.85918E+0	-1.94458E+0	-1.94458E+0	1.85939E+0	1.85939E+0
4.85558E+0	-1.86584E+0	-1.86584E+0	1.64838E+0	1.64838E+0
4.85238E+0	-1.60874E+0	-1.60874E+0	1.48842E+0	1.48842E+0
4.85091E+0	-1.51791E+0	-1.51791E+0	1.41022E+0	1.41022E+0
4.84958E+0	-1.42321E+0	-1.42321E+0	1.36029E+0	1.36029E+0
4.84824E+0	-1.40721E+0	-1.40721E+0	1.30907E+0	1.30907E+0
4.84678E+0	-1.38166E+0	-1.38166E+0	1.22570E+0	1.22570E+0
4.84544E+0	-1.34192E+0	-1.34192E+0	1.19086E+0	1.19086E+0
4.84411E+0	-1.29798E+0	-1.29798E+0	1.14610E+0	1.14610E+0
4.84278E+0	-1.22867E+0	-1.22867E+0	1.09766E+0	1.09766E+0
4.84104E+0	-1.20403E+0	-1.20403E+0	1.05761E+0	1.05761E+0
4.83878E+0	-1.13114E+0	-1.13114E+0	1.01671E+0	1.01671E+0
4.83824E+0	-1.09021E+0	-1.09021E+0	9.53369E-1	9.53369E-1
4.83584E+0	-1.08385E+0	-1.08385E+0	9.18710E-1	9.18710E-1
4.83438E+0	-1.07074E+0	-1.07074E+0	9.25489E-1	9.25489E-1
4.83318E+0	-1.01488E+0	-1.01488E+0	9.03401E-1	9.03401E-1
4.83144E+0	-9.90977E-1	-9.90977E-1	8.84051E-1	8.84051E-1
4.83011E+0	-9.79851E-1	-9.79851E-1	8.65420E-1	8.65420E-1
4.82878E+0	-9.58506E-1	-9.58506E-1	8.34622E-1	8.34622E-1
4.82731E+0	-9.41759E-1	-9.41759E-1	8.13028E-1	8.13028E-1
4.82598E+0	-9.40169E-1	-9.40169E-1	7.83577E-1	7.83577E-1
4.82464E+0	-9.09628E-1	-9.09628E-1	7.75137E-1	7.75137E-1
4.82318E+0	-8.89872E-1	-8.89872E-1	7.70782E-1	7.70782E-1
4.82184E+0	-9.01056E-1	-9.01056E-1	7.82186E-1	7.82186E-1
4.82038E+0	-8.72955E-1	-8.72955E-1	7.59649E-1	7.59649E-1
4.81891E+0	-8.90667E-1	-8.90667E-1	7.43442E-1	7.43442E-1
4.81758E+0	-9.08208E-1	-9.08208E-1	7.49413E-1	7.49413E-1
4.81624E+0	-8.91121E-1	-8.91121E-1	7.40255E-1	7.40255E-1
4.81478E+0	-8.79540E-1	-8.79540E-1	7.36484E-1	7.36484E-1
4.81331E+0	-8.80846E-1	-8.80846E-1	7.60817E-1	7.60817E-1
4.81158E+0	-8.69152E-1	-8.69152E-1	7.68359E-1	7.68359E-1
4.81011E+0	-8.70400E-1	-8.70400E-1	7.49817E-1	7.49817E-1
4.80877E+0	-8.96514E-1	-8.96514E-1	7.78326E-1	7.78326E-1
4.80731E+0	-9.00034E-1	-9.00034E-1	7.97316E-1	7.97316E-1
4.80584E+0	-9.21719E-1	-9.21719E-1	8.01805E-1	8.01805E-1
4.80438E+0	-9.21265E-1	-9.21265E-1	8.16261E-1	8.16261E-1
4.80304E+0	-9.35855E-1	-9.35855E-1	8.09662E-1	8.09662E-1
4.80144E+0	-9.67532E-1	-9.67532E-1	8.30089E-1	8.30089E-1
4.80011E+0	-9.93702E-1	-9.93702E-1	8.32917E-1	8.32917E-1
4.79864E+0	-1.02141E+0	-1.02141E+0	8.46924E-1	8.46924E-1
4.79771E+0	-1.02004E+0	-1.02004E+0	8.60123E-1	8.60123E-1
4.79598E+0	-1.03889E+0	-1.03889E+0	8.87015E-1	8.87015E-1
4.79464E+0	-1.06642E+0	-1.06642E+0	9.06320E-1	9.06320E-1
4.79318E+0	-1.11842E+0	-1.11842E+0	9.67781E-1	9.67781E-1
4.79184E+0	-1.13557E+0	-1.13557E+0	1.01667E+0	1.01667E+0
4.79038E+0	-1.14681E+0	-1.14681E+0	1.03786E+0	1.03786E+0
4.78904E+0	-1.19875E+0	-1.19875E+0	1.08285E+0	1.08285E+0
4.78771E+0	-1.24837E+0	-1.24837E+0	1.11625E+0	1.11625E+0
4.78637E+0	-1.26233E+0	-1.26233E+0	1.13762E+0	1.13762E+0
4.78491E+0	-1.30162E+0	-1.30162E+0	1.17757E+0	1.17757E+0
4.78357E+0	-1.38501E+0	-1.38501E+0	1.26471E+0	1.26471E+0
4.78211E+0	-1.42929E+0	-1.42929E+0	1.30516E+0	1.30516E+0
4.78077E+0	-1.46732E+0	-1.46732E+0	1.35185E+0	1.35185E+0
4.77904E+0	-1.54680E+0	-1.54680E+0	1.40918E+0	1.40918E+0
4.77771E+0	-1.60414E+0	-1.60414E+0	1.48447E+0	1.48447E+0
