# Sweep B vom 27.10.2009 16:19
# Sweep B ab 0.00000E+0
#
B	R1X	R1Y	R2X	R2Y
8.90000E-4	-2.03342E+2	-2.03342E+2	2.04212E+2	2.04212E+2
8.90000E-4	-2.03316E+2	-2.03316E+2	2.04218E+2	2.04218E+2
1.69000E-3	-2.03316E+2	-2.03316E+2	2.04250E+2	2.04250E+2
3.02000E-3	-2.03289E+2	-2.03289E+2	2.04246E+2	2.04246E+2
4.76000E-3	-2.03276E+2	-2.03276E+2	2.04213E+2	2.04213E+2
5.82000E-3	-2.03261E+2	-2.03261E+2	2.04229E+2	2.04229E+2
7.56000E-3	-2.03242E+2	-2.03242E+2	2.04230E+2	2.04230E+2
8.89000E-3	-2.03244E+2	-2.03244E+2	2.04251E+2	2.04251E+2
9.43000E-3	-2.03255E+2	-2.03255E+2	2.04232E+2	2.04232E+2
1.15600E-2	-2.03245E+2	-2.03245E+2	2.04208E+2	2.04208E+2
1.19600E-2	-2.03249E+2	-2.03249E+2	2.04240E+2	2.04240E+2
1.40900E-2	-2.03250E+2	-2.03250E+2	2.04239E+2	2.04239E+2
1.55600E-2	-2.03224E+2	-2.03224E+2	2.04229E+2	2.04229E+2
1.71600E-2	-2.03211E+2	-2.03211E+2	2.04210E+2	2.04210E+2
1.84900E-2	-2.03134E+2	-2.03134E+2	2.04183E+2	2.04183E+2
1.90300E-2	-2.03147E+2	-2.03147E+2	2.04180E+2	2.04180E+2
2.15600E-2	-2.03125E+2	-2.03125E+2	2.04162E+2	2.04162E+2
2.19600E-2	-2.03100E+2	-2.03100E+2	2.04176E+2	2.04176E+2
2.43600E-2	-2.03082E+2	-2.03082E+2	2.04163E+2	2.04163E+2
2.47600E-2	-2.03068E+2	-2.03068E+2	2.04111E+2	2.04111E+2
2.70300E-2	-2.03049E+2	-2.03049E+2	2.04093E+2	2.04093E+2
2.75600E-2	-2.03023E+2	-2.03023E+2	2.04101E+2	2.04101E+2
2.99600E-2	-2.03011E+2	-2.03011E+2	2.04056E+2	2.04056E+2
3.12900E-2	-2.02976E+2	-2.02976E+2	2.04027E+2	2.04027E+2
3.18300E-2	-2.02931E+2	-2.02931E+2	2.03979E+2	2.03979E+2
3.42300E-2	-2.02906E+2	-2.02906E+2	2.03967E+2	2.03967E+2
3.52900E-2	-2.02876E+2	-2.02876E+2	2.03949E+2	2.03949E+2
3.70300E-2	-2.02835E+2	-2.02835E+2	2.03923E+2	2.03923E+2
3.83600E-2	-2.02785E+2	-2.02785E+2	2.03893E+2	2.03893E+2
3.98300E-2	-2.02750E+2	-2.02750E+2	2.03823E+2	2.03823E+2
4.10300E-2	-2.02708E+2	-2.02708E+2	2.03797E+2	2.03797E+2
4.14300E-2	-2.02648E+2	-2.02648E+2	2.03791E+2	2.03791E+2
4.36900E-2	-2.02614E+2	-2.02614E+2	2.03770E+2	2.03770E+2
4.54300E-2	-2.02581E+2	-2.02581E+2	2.03711E+2	2.03711E+2
4.67600E-2	-2.02568E+2	-2.02568E+2	2.03688E+2	2.03688E+2
4.79600E-2	-2.02523E+2	-2.02523E+2	2.03625E+2	2.03625E+2
4.94300E-2	-2.02449E+2	-2.02449E+2	2.03612E+2	2.03612E+2
5.06300E-2	-2.02384E+2	-2.02384E+2	2.03586E+2	2.03586E+2
5.22300E-2	-2.02343E+2	-2.02343E+2	2.03516E+2	2.03516E+2
5.36900E-2	-2.02318E+2	-2.02318E+2	2.03478E+2	2.03478E+2
5.47600E-2	-2.02265E+2	-2.02265E+2	2.03428E+2	2.03428E+2
5.62300E-2	-2.02209E+2	-2.02209E+2	2.03377E+2	2.03377E+2
5.78300E-2	-2.02194E+2	-2.02194E+2	2.03325E+2	2.03325E+2
5.91600E-2	-2.02131E+2	-2.02131E+2	2.03295E+2	2.03295E+2
6.06300E-2	-2.02060E+2	-2.02060E+2	2.03284E+2	2.03284E+2
6.10300E-2	-2.01991E+2	-2.01991E+2	2.03217E+2	2.03217E+2
6.32900E-2	-2.01980E+2	-2.01980E+2	2.03183E+2	2.03183E+2
6.47600E-2	-2.01958E+2	-2.01958E+2	2.03141E+2	2.03141E+2
6.60900E-2	-2.01901E+2	-2.01901E+2	2.03101E+2	2.03101E+2
6.75600E-2	-2.01812E+2	-2.01812E+2	2.03064E+2	2.03064E+2
6.90300E-2	-2.01752E+2	-2.01752E+2	2.02999E+2	2.02999E+2
7.06300E-2	-2.01718E+2	-2.01718E+2	2.02935E+2	2.02935E+2
7.16900E-2	-2.01680E+2	-2.01680E+2	2.02910E+2	2.02910E+2
7.31600E-2	-2.01629E+2	-2.01629E+2	2.02846E+2	2.02846E+2
7.46300E-2	-2.01571E+2	-2.01571E+2	2.02808E+2	2.02808E+2
7.60900E-2	-2.01547E+2	-2.01547E+2	2.02768E+2	2.02768E+2
7.72900E-2	-2.01489E+2	-2.01489E+2	2.02727E+2	2.02727E+2
7.90300E-2	-2.01424E+2	-2.01424E+2	2.02678E+2	2.02678E+2
8.00900E-2	-2.01413E+2	-2.01413E+2	2.02633E+2	2.02633E+2
8.14300E-2	-2.01336E+2	-2.01336E+2	2.02565E+2	2.02565E+2
8.30300E-2	-2.01262E+2	-2.01262E+2	2.02502E+2	2.02502E+2
8.44900E-2	-2.01244E+2	-2.01244E+2	2.02477E+2	2.02477E+2
8.58300E-2	-2.01206E+2	-2.01206E+2	2.02446E+2	2.02446E+2
8.71600E-2	-2.01158E+2	-2.01158E+2	2.02367E+2	2.02367E+2
8.86300E-2	-2.01066E+2	-2.01066E+2	2.02326E+2	2.02326E+2
9.00900E-2	-2.01024E+2	-2.01024E+2	2.02301E+2	2.02301E+2
9.11600E-2	-2.01000E+2	-2.01000E+2	2.02250E+2	2.02250E+2
9.24900E-2	-2.00951E+2	-2.00951E+2	2.02203E+2	2.02203E+2
9.43600E-2	-2.00906E+2	-2.00906E+2	2.02148E+2	2.02148E+2
9.54300E-2	-2.00826E+2	-2.00826E+2	2.02120E+2	2.02120E+2
9.71600E-2	-2.00780E+2	-2.00780E+2	2.02093E+2	2.02093E+2
9.85000E-2	-2.00763E+2	-2.00763E+2	2.02026E+2	2.02026E+2
9.99600E-2	-2.00730E+2	-2.00730E+2	2.01991E+2	2.01991E+2
1.01160E-1	-2.00649E+2	-2.00649E+2	2.01959E+2	2.01959E+2
1.02630E-1	-2.00611E+2	-2.00611E+2	2.01890E+2	2.01890E+2
1.03960E-1	-2.00580E+2	-2.00580E+2	2.01847E+2	2.01847E+2
1.05430E-1	-2.00554E+2	-2.00554E+2	2.01803E+2	2.01803E+2
1.06760E-1	-2.00476E+2	-2.00476E+2	2.01759E+2	2.01759E+2
1.08360E-1	-2.00409E+2	-2.00409E+2	2.01695E+2	2.01695E+2
1.09430E-1	-2.00356E+2	-2.00356E+2	2.01651E+2	2.01651E+2
1.11300E-1	-2.00325E+2	-2.00325E+2	2.01620E+2	2.01620E+2
1.12360E-1	-2.00276E+2	-2.00276E+2	2.01596E+2	2.01596E+2
1.14100E-1	-2.00225E+2	-2.00225E+2	2.01558E+2	2.01558E+2
1.15030E-1	-2.00192E+2	-2.00192E+2	2.01495E+2	2.01495E+2
1.16500E-1	-2.00168E+2	-2.00168E+2	2.01443E+2	2.01443E+2
1.18230E-1	-2.00102E+2	-2.00102E+2	2.01406E+2	2.01406E+2
1.19700E-1	-2.00039E+2	-2.00039E+2	2.01349E+2	2.01349E+2
1.21030E-1	-2.00018E+2	-2.00018E+2	2.01314E+2	2.01314E+2
1.22100E-1	-1.99999E+2	-1.99999E+2	2.01263E+2	2.01263E+2
1.23960E-1	-1.99938E+2	-1.99938E+2	2.01226E+2	2.01226E+2
1.25030E-1	-1.99904E+2	-1.99904E+2	2.01178E+2	2.01178E+2
1.26760E-1	-1.99871E+2	-1.99871E+2	2.01142E+2	2.01142E+2
1.28230E-1	-1.99808E+2	-1.99808E+2	2.01071E+2	2.01071E+2
1.29700E-1	-1.99726E+2	-1.99726E+2	2.01030E+2	2.01030E+2
1.31030E-1	-1.99687E+2	-1.99687E+2	2.01000E+2	2.01000E+2
1.32100E-1	-1.99658E+2	-1.99658E+2	2.00960E+2	2.00960E+2
1.33960E-1	-1.99618E+2	-1.99618E+2	2.00924E+2	2.00924E+2
1.35300E-1	-1.99565E+2	-1.99565E+2	2.00852E+2	2.00852E+2
1.36760E-1	-1.99510E+2	-1.99510E+2	2.00836E+2	2.00836E+2
1.38100E-1	-1.99475E+2	-1.99475E+2	2.00819E+2	2.00819E+2
1.39160E-1	-1.99439E+2	-1.99439E+2	2.00788E+2	2.00788E+2
1.40900E-1	-1.99385E+2	-1.99385E+2	2.00739E+2	2.00739E+2
1.42100E-1	-1.99341E+2	-1.99341E+2	2.00698E+2	2.00698E+2
1.43560E-1	-1.99319E+2	-1.99319E+2	2.00682E+2	2.00682E+2
1.44900E-1	-1.99290E+2	-1.99290E+2	2.00603E+2	2.00603E+2
1.46360E-1	-1.99214E+2	-1.99214E+2	2.00587E+2	2.00587E+2
1.47960E-1	-1.99196E+2	-1.99196E+2	2.00555E+2	2.00555E+2
1.49300E-1	-1.99168E+2	-1.99168E+2	2.00494E+2	2.00494E+2
1.50360E-1	-1.99133E+2	-1.99133E+2	2.00457E+2	2.00457E+2
1.51830E-1	-1.99076E+2	-1.99076E+2	2.00399E+2	2.00399E+2
1.53300E-1	-1.99035E+2	-1.99035E+2	2.00352E+2	2.00352E+2
1.54760E-1	-1.98989E+2	-1.98989E+2	2.00322E+2	2.00322E+2
1.56100E-1	-1.98942E+2	-1.98942E+2	2.00304E+2	2.00304E+2
