# Sweep B vom 28.10.2009 12:46
# Sweep B ab 5.00000E+0
#
B	R1X	R1Y	R2X	R2Y
4.99919E+0	2.28691E+3	2.28691E+3	8.18122E+3	8.18122E+3
4.99919E+0	2.28788E+3	2.28788E+3	8.18122E+3	8.18122E+3
4.99927E+0	2.28769E+3	2.28769E+3	8.18122E+3	8.18122E+3
4.99863E+0	2.28683E+3	2.28683E+3	8.18122E+3	8.18122E+3
4.99831E+0	2.28513E+3	2.28513E+3	8.18162E+3	8.18162E+3
4.99727E+0	2.28316E+3	2.28316E+3	8.18162E+3	8.18162E+3
4.99631E+0	2.28096E+3	2.28096E+3	8.18162E+3	8.18162E+3
4.99535E+0	2.27934E+3	2.27934E+3	8.18098E+3	8.18098E+3
4.99431E+0	2.27749E+3	2.27749E+3	8.18098E+3	8.18098E+3
4.99327E+0	2.27558E+3	2.27558E+3	8.18098E+3	8.18098E+3
4.99231E+0	2.27363E+3	2.27363E+3	8.17906E+3	8.17906E+3
4.99127E+0	2.27160E+3	2.27160E+3	8.17906E+3	8.17906E+3
4.99023E+0	2.26955E+3	2.26955E+3	8.17906E+3	8.17906E+3
4.98927E+0	2.26715E+3	2.26715E+3	8.17583E+3	8.17583E+3
4.98831E+0	2.26568E+3	2.26568E+3	8.17583E+3	8.17583E+3
4.98671E+0	2.26361E+3	2.26361E+3	8.17583E+3	8.17583E+3
4.98567E+0	2.26214E+3	2.26214E+3	8.17129E+3	8.17129E+3
4.98567E+0	2.26014E+3	2.26014E+3	8.17129E+3	8.17129E+3
4.98407E+0	2.25789E+3	2.25789E+3	8.17129E+3	8.17129E+3
4.98319E+0	2.25646E+3	2.25646E+3	8.17129E+3	8.17129E+3
4.98247E+0	2.25503E+3	2.25503E+3	8.16546E+3	8.16546E+3
4.98167E+0	2.25317E+3	2.25317E+3	8.16546E+3	8.16546E+3
4.98135E+0	2.25158E+3	2.25158E+3	8.16546E+3	8.16546E+3
4.97975E+0	2.24949E+3	2.24949E+3	8.15833E+3	8.15833E+3
4.97951E+0	2.24776E+3	2.24776E+3	8.15833E+3	8.15833E+3
4.97799E+0	2.24565E+3	2.24565E+3	8.15833E+3	8.15833E+3
