# Sweep B vom 28.10.2009 15:48
# Sweep B ab 0.00000E+0
#
B	R1X	R1Y	R2X	R2Y
6.70000E-4	3.03264E+2	3.03264E+2	4.42688E+0	4.42688E+0
6.70000E-4	3.03260E+2	3.03260E+2	4.42875E+0	4.42875E+0
6.70000E-4	3.03265E+2	3.03265E+2	4.42875E+0	4.42875E+0
1.07000E-3	3.03261E+2	3.03261E+2	4.42875E+0	4.42875E+0
2.27000E-3	3.03224E+2	3.03224E+2	4.42875E+0	4.42875E+0
2.80000E-3	3.03241E+2	3.03241E+2	4.54826E+0	4.54826E+0
4.40000E-3	3.03299E+2	3.03299E+2	4.54826E+0	4.54826E+0
4.40000E-3	3.03192E+2	3.03192E+2	4.54826E+0	4.54826E+0
8.80000E-3	3.03178E+2	3.03178E+2	4.09585E+0	4.09585E+0
1.05400E-2	3.03147E+2	3.03147E+2	4.09585E+0	4.09585E+0
1.05400E-2	3.03059E+2	3.03059E+2	4.09585E+0	4.09585E+0
1.24000E-2	3.03054E+2	3.03054E+2	2.88686E+0	2.88686E+0
1.37300E-2	3.03043E+2	3.03043E+2	2.88686E+0	2.88686E+0
1.65300E-2	3.02980E+2	3.02980E+2	2.88686E+0	2.88686E+0
1.70700E-2	3.02942E+2	3.02942E+2	9.29653E-1	9.29653E-1
1.86700E-2	3.02882E+2	3.02882E+2	9.29653E-1	9.29653E-1
1.86700E-2	3.02830E+2	3.02830E+2	9.29653E-1	9.29653E-1
2.28000E-2	3.02746E+2	3.02746E+2	9.29653E-1	9.29653E-1
2.32000E-2	3.02659E+2	3.02659E+2	-1.78884E+0	-1.78884E+0
2.49400E-2	3.02600E+2	3.02600E+2	-1.78884E+0	-1.78884E+0
2.61400E-2	3.02508E+2	3.02508E+2	-1.78884E+0	-1.78884E+0
2.82700E-2	3.02446E+2	3.02446E+2	-5.25569E+0	-5.25569E+0
2.89400E-2	3.02377E+2	3.02377E+2	-5.25569E+0	-5.25569E+0
3.14700E-2	3.02270E+2	3.02270E+2	-5.25569E+0	-5.25569E+0
3.18700E-2	3.02234E+2	3.02234E+2	-5.25569E+0	-5.25569E+0
3.44000E-2	3.02134E+2	3.02134E+2	-9.48289E+0	-9.48289E+0
3.62700E-2	3.02042E+2	3.02042E+2	-9.48289E+0	-9.48289E+0
3.73400E-2	3.01967E+2	3.01967E+2	-9.48289E+0	-9.48289E+0
3.88000E-2	3.01858E+2	3.01858E+2	-1.44473E+1	-1.44473E+1
4.01400E-2	3.01758E+2	3.01758E+2	-1.44473E+1	-1.44473E+1
4.01400E-2	3.01665E+2	3.01665E+2	-1.44473E+1	-1.44473E+1
4.30700E-2	3.01539E+2	3.01539E+2	-1.44473E+1	-1.44473E+1
4.42700E-2	3.01444E+2	3.01444E+2	-2.01725E+1	-2.01725E+1
4.57400E-2	3.01345E+2	3.01345E+2	-2.01725E+1	-2.01725E+1
4.57400E-2	3.01209E+2	3.01209E+2	-2.01725E+1	-2.01725E+1
4.90700E-2	3.01064E+2	3.01064E+2	-2.66509E+1	-2.66509E+1
5.02700E-2	3.00993E+2	3.00993E+2	-2.66509E+1	-2.66509E+1
5.02700E-2	3.00872E+2	3.00872E+2	-2.66509E+1	-2.66509E+1
5.32000E-2	3.00722E+2	3.00722E+2	-2.66509E+1	-2.66509E+1
5.46700E-2	3.00619E+2	3.00619E+2	-3.40066E+1	-3.40066E+1
5.57400E-2	3.00487E+2	3.00487E+2	-3.40066E+1	-3.40066E+1
5.62700E-2	3.00364E+2	3.00364E+2	-3.40066E+1	-3.40066E+1
5.86700E-2	3.00232E+2	3.00232E+2	-4.15467E+1	-4.15467E+1
5.93400E-2	3.00069E+2	3.00069E+2	-4.15467E+1	-4.15467E+1
6.14700E-2	2.99928E+2	2.99928E+2	-4.15467E+1	-4.15467E+1
6.20000E-2	2.99775E+2	2.99775E+2	-4.15467E+1	-4.15467E+1
6.45400E-2	2.99627E+2	2.99627E+2	-4.90834E+1	-4.90834E+1
6.61400E-2	2.99520E+2	2.99520E+2	-4.90834E+1	-4.90834E+1
6.72000E-2	2.99395E+2	2.99395E+2	-4.90834E+1	-4.90834E+1
6.86700E-2	2.99274E+2	2.99274E+2	-4.90834E+1	-4.90834E+1
7.04000E-2	2.99153E+2	2.99153E+2	-5.66202E+1	-5.66202E+1
7.21400E-2	2.99050E+2	2.99050E+2	-5.66202E+1	-5.66202E+1
7.30700E-2	2.98865E+2	2.98865E+2	-5.66202E+1	-5.66202E+1
7.42700E-2	2.98770E+2	2.98770E+2	-6.41556E+1	-6.41556E+1
7.56000E-2	2.98655E+2	2.98655E+2	-6.41556E+1	-6.41556E+1
7.72000E-2	2.98508E+2	2.98508E+2	-6.41556E+1	-6.41556E+1
7.86700E-2	2.98390E+2	2.98390E+2	-6.41556E+1	-6.41556E+1
